Year,Gender,Count,Total Live Births,Rate
2013,Male,1301,253331,5.1
2013,Female,1047,241061,4.3
2012,Male,1222,257457,4.7
2012,Female,1025,246331,4.2
2011,Male,1314,257185,5.1
2011,Female,1083,244838,4.4
2010,Male,1358,261101,5.2
2010,Female,1061,248878,4.3
2009,Female,1122,256947,4.4
2009,Male,1471,269827,5.5
2008,Male,1551,282632,5.5
2008,Female,1255,268935,4.7
2007,Male,1635,289858,5.6
2007,Female,1306,276279,4.7
2006,Male,1600,288108,5.6
2006,Female,1229,274049,4.5
2005,Male,1604,280590,5.7
2005,Female,1309,268110,4.9
2004,Male,1583,278314,5.7
2004,Female,1228,266371,4.6
