Year,Race,Count,Total Live Births,Rate
2013,American Indian,9,1794,5.0
2013,Asian,170,68117,2.5
2013,Black,275,25837,10.6
2013,Hispanic,1212,238200,5.1
2013,Not Stated or Unknown,10,9385,1.1
2013,Pacific Islander/Hawaiian,6,1994,3.0
2013,Two or more races,133,11169,11.9
2013,White/Other,533,137896,3.9
2012,American Indian,7,1763,4.0
2012,Asian,198,68547,2.9
2012,Black,261,26533,9.8
2012,Hispanic,1159,244616,4.7
2012,Not Stated or Unknown,7,11770,0.6
2012,Pacific Islander/Hawaiian,8,2037,3.9
2012,Two or more races,84,10932,7.7
2012,White/Other,523,137590,3.8
2011,American Indian,10,1804,5.5
2011,Asian,174,61907,2.8
2011,Black,284,27082,10.5
2011,Hispanic,1228,249675,4.9
2011,Not Stated or Unknown,12,9216,1.3
2011,Pacific Islander/Hawaiian,20,2153,9.3
2011,Two or more races,96,10598,9.1
2011,White/Other,573,139588,4.1
2010,American Indian,15,1910,7.9
2010,Asian,162,60654,2.7
2010,Black,264,27704,9.5
2010,Hispanic,1264,257269,4.9
2010,Not Stated or Unknown,11,8907,1.2
2010,Pacific Islander/Hawaiian,16,2235,7.2
2010,Two or more races,106,10285,10.3
2010,White/Other,581,141015,4.1
2009,American Indian,11,1987,5.5
2009,Asian,197,62854,3.1
2009,Black,303,28611,10.6
2009,Hispanic,1354,269953,5.0
2009,Not Stated or Unknown,14,9621,1.5
2009,Pacific Islander/Hawaiian,18,2397,7.5
2009,Two or more races,118,9828,12.0
2009,White/Other,578,141523,4.1
2008,American Indian,11,2032,5.4
2008,Asian,203,64825,3.1
2008,Black,356,29428,12.1
2008,Hispanic,1504,287323,5.2
2008,Not Stated or Unknown,4,8962,0.4
2008,Pacific Islander/Hawaiian,15,2481,6.0
2008,Two or more races,104,9875,10.5
2008,White/Other,609,146641,4.2
2007,American Indian,8,2012,4.0
2007,Asian,222,66234,3.4
2007,Black,340,29479,11.5
2007,Hispanic,1526,296917,5.1
2007,Not Stated or Unknown,3,8193,0.4
2007,Pacific Islander/Hawaiian,16,2608,6.1
2007,Two or more races,135,9456,14.3
2007,White/Other,691,151238,4.6
2006,American Indian,14,2136,6.6
2006,Asian,192,62949,3.1
2006,Black,346,30016,11.5
2006,Hispanic,1487,293276,5.1
2006,Not Stated or Unknown,6,8558,0.7
2006,Pacific Islander/Hawaiian,16,2523,6.3
2006,Two or more races,85,8219,10.3
2006,White/Other,683,154480,4.4
2005,American Indian,10,2116,4.7
2005,Asian,186,61735,3.0
2005,Black,365,28756,12.7
2005,Hispanic,1497,282823,5.3
2005,Not Stated or Unknown,15,7232,2.1
2005,Pacific Islander/Hawaiian,18,2528,7.1
2005,Two or more races,87,7382,11.8
2005,White/Other,735,156128,4.7
2004,American Indian,10,2073,4.8
2004,Asian,183,62122,2.9
2004,Black,343,28679,12.0
2004,Hispanic,1426,275188,5.2
2004,Not Stated or Unknown,9,7739,1.2
2004,Pacific Islander/Hawaiian,20,2543,7.9
2004,Two or more races,90,7162,12.6
2004,White/Other,730,159179,4.6
